Parameter,Description,EVR,DCF,PLA,PAD,HAB
PbH1,Proportion of host community made up of small mammals (larvae),0.922 ; 0.922,0.942 ; 0.942,0.913 ; 0.913,0.933 ; 0.933,0.92 ; 0.92
PbH2,Proportion of host community made up of birds(larvae),0.045 ; 0.045,0.03 ; 0.03,0.041 ; 0.041,0.04 ; 0.04,0.046 ; 0.046
PbH3,Proportion of host community made up of primates(larvae),0.009 ; 0.009,0.008 ; 0.008,0.004 ; 0.004,0.003 ; 0.003,0.01 ; 0.01
PbH4,Proportion of host community made up of cattle(larvae),0.024 ; 0.024,0.02 ; 0.02,0.043 ; 0.043,0.024 ; 0.024,0.024 ; 0.024
PbLH1,Proportion of host community made up of small mammals (larvae),0.922 ; 0.922,0.942 ; 0.942,0.913 ; 0.913,0.933 ; 0.933,0.92 ; 0.92
PbLH2,Proportion of host community made up of birds(larvae),0.045 ; 0.045,0.03 ; 0.03,0.041 ; 0.041,0.04 ; 0.04,0.046 ; 0.046
PbLH3,Proportion of host community made up of primates(larvae),0.009 ; 0.009,0.008 ; 0.008,0.004 ; 0.004,0.003 ; 0.003,0.01 ; 0.01
PbLH4,Proportion of host community made up of cattle(larvae),0.024 ; 0.024,0.02 ; 0.02,0.043 ; 0.043,0.024 ; 0.024,0.024 ; 0.024
PbNH1,Proportion of host community made up of small mammals(nymphs),0.922 ; 0.922,0.942 ; 0.942,0.913 ; 0.913,0.933 ; 0.933,0.92 ; 0.92
PbNH2,Proportion of host community made up of birds(nymphs),0.045 ; 0.045,0.03 ; 0.03,0.041 ; 0.041,0.04 ; 0.04,0.046 ; 0.046
PbNH3,Proportion of host community made up of primates(nymphs),0.009 ; 0.009,0.008 ; 0.008,0.004 ; 0.004,0.003 ; 0.003,0.01 ; 0.01
PbNH4,Proportion of host community made up of cattle(nymphs),0.024 ; 0.024,0.02 ; 0.02,0.043 ; 0.043,0.024 ; 0.024,0.024 ; 0.024
PbAH1,Proportion of host community made up of small mammals (adults),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
PbAH2,Proportion of host community made up of birds (adults),0.045 ; 0.045,0.03 ; 0.03,0.041 ; 0.041,0.04 ; 0.04,0.046 ; 0.046
PbAH3,Proportion of host community made up of primates (adults),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
PbAH4,Proportion of host community made up of cattle (adults),0.024 ; 0.024,0.02 ; 0.02,0.043 ; 0.043,0.024 ; 0.024,0.024 ; 0.024
E,Mean # of eggs per adult,1090;3536,1090;3536,1090;3536,1090;3536,1090;3536
Sl,Survival probabilities from egg to feeding larva,0.05 ; 0.25,0.05 ; 0.25,0.05 ; 0.25,0.05 ; 0.25,0.05 ; 0.25
Sn,Survival probabilities from larva to feeding nymph,0.05 ; 0.25,0.05 ; 0.25,0.05 ; 0.25,0.05 ; 0.25,0.05 ; 0.25
Sa,Survival probabilities from nymph to feeding adult,0.15 ; 0.25,0.15 ; 0.25,0.15 ; 0.25,0.15 ; 0.25,0.15 ; 0.25
CllH1,# of larvae co-feeding with a larva (Host 1),0.01 ; 0.49,0.01 ; 0.49,0.01 ; 0.49,0.01 ; 0.49,0.01 ; 0.49
CnlH1,# of nymphs co-feeding with a larva (Host 1),0.01 ; 0.52,0.01 ; 0.52,0.01 ; 0.52,0.01 ; 0.52,0.01 ; 0.52
CalH1,# of adults co-feeding with a larva (Host 1),0,0,0,0,0
ClnH1,# of larvae co-feeding with a nymph (Host 1),0.01 ; 0.49,0.01 ; 0.49,0.01 ; 0.49,0.01 ; 0.49,0.01 ; 0.49
CnnH1,# of nymphs co-feeding with a nymph (Host 1),0.01 ; 0.55,0.01 ; 0.55,0.01 ; 0.55,0.01 ; 0.55,0.01 ; 0.55
CanH1,# of adults co-feeding with a nymph (Host 1),0,0,0,0,0
ClaH1,# of larvae co-feeding with an adult (Host 1),0,0,0,0,0
CnaH1,# of nymphs co-feeding with an adult (Host 1),0,0,0,0,0
CaaH1,# of adults co-feeding with an adult (Host 1),0,0,0,0,0
CllH2,# of larvae co-feeding with a larva (Host 2),0.01 ; 3.26,0.01 ; 3.26,0.01 ; 3.26,0.01 ; 3.26,0.01 ; 3.26
CnlH2,# of nymphs co-feeding with a larva (Host 2),0.01 ; 0.12,0.01 ; 0.12,0.01 ; 0.12,0.01 ; 0.12,0.01 ; 0.12
CalH2,# of adults co-feeding with a larva (Host 2),0.01 ; 0.039,0.01 ; 0.039,0.01 ; 0.039,0.01 ; 0.039,0.01 ; 0.039
ClnH2,# of larvae co-feeding with a nymph (Host 2),0.01 ; 0.71,0.01 ; 0.71,0.01 ; 0.71,0.01 ; 0.71,0.01 ; 0.71
CnnH2,# of nymphs co-feeding with a nymph (Host 2),0.01 ; 0.16,0.01 ; 0.16,0.01 ; 0.16,0.01 ; 0.16,0.01 ; 0.16
CanH2,# of adults co-feeding with a nymph (Host 2),0.01 ; 0.053,0.01 ; 0.053,0.01 ; 0.053,0.01 ; 0.053,0.01 ; 0.053
ClaH2,# of larvae co-feeding with an adult (Host 2),0.01 ; 0.22,0.01 ; 0.22,0.01 ; 0.22,0.01 ; 0.22,0.01 ; 0.22
CnaH2,# of nymphs co-feeding with an adult (Host 2),0.01 ; 0.024,0.01 ; 0.024,0.01 ; 0.024,0.01 ; 0.024,0.01 ; 0.024
CaaH2,# of adults co-feeding with an adult (Host 2),0.01 ; 0.014,0.01 ; 0.014,0.01 ; 0.014,0.01 ; 0.014,0.01 ; 0.014
CllH3,# of larvae co-feeding with a larva (Host 3),0.01 ; 1.06,0.01 ; 1.06,0.01 ; 1.06,0.01 ; 1.06,0.01 ; 1.06
CnlH3,# of nymphs co-feeding with a larva (Host 3),0.01; 0.30,0.01; 0.30,0.01; 0.30,0.01; 0.30,0.01; 0.30
CalH3,# of adults co-feeding with a larva (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
ClnH3,# of larvae co-feeding with a nymph (Host 3),0.01 ; 1.07,0.01 ; 1.07,0.01 ; 1.07,0.01 ; 1.07,0.01 ; 1.07
CnnH3,# of nymphs co-feeding with a nymph (Host 3),0.01 ; 0.38,0.01 ; 0.38,0.01 ; 0.38,0.01 ; 0.38,0.01 ; 0.38
CanH3,# of adults co-feeding with a nymph (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
ClaH3,# of larvae co-feeding with an adult (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
CnaH3,# of nymphs co-feeding with an adult (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
CaaH3,# of adults co-feeding with an adult (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
CllH4,# of larvae co-feeding with a larva (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
CnlH4,# of nymphs co-feeding with a larva (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
CalH4,# of adults co-feeding with a larva (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
ClnH4,# of larvae co-feeding with a nymph (Host 3),0 ; 0,0 ; 0,0 ; 0,0 ; 0,0 ; 0
CnnH4,# of nymphs co-feeding with a nymph (Host 3),0.01 ; 0.1,0.01 ; 0.1,0.01 ; 0.1,0.01 ; 0.1,0.01 ; 0.1
CanH4,# of adults co-feeding with a nymph (Host 3),0.01 ; 1.87,0.01 ; 1.87,0.01 ; 1.87,0.01 ; 1.87,0.01 ; 1.87
